Date,Sticky_Price_CPI,Sticky_Price_CPI_Less_Shelter,Sticky_Price_CPI_Less_Food_Energy,Sticky_Price_CPI_Less_Food_Energy_Shelter,Trimmed_Mean_PCE_Inflation_Rate,16_Percent_Trimmed_Mean_CPI,Median_CPI,Flexible_Price_CPI,Flexible_Price_CPI_Less_Food_Energy
1972-10-01,3.323692322,2.7947514,3.344140047,2.70331948,,,,3.63555157,2.278979468
1972-11-01,3.280365561,2.886664757,3.281095844,2.794017505,,,,4.150438692,2.708154275
1972-12-01,3.188525703,2.749527231,3.153985901,2.586460873,,,,3.855297118,3.049128898
1973-01-01,2.926712508,2.499680045,2.847928102,2.264511619,,,,4.905381406,2.537841764
1973-02-01,3.007580644,2.63113876,2.886258664,2.335821889,,,,5.40664576,2.778050854
1973-03-01,3.060647582,2.719306789,2.934248028,2.423467188,,,,7.149926951,3.171490417
1973-04-01,3.169000412,2.893787026,3.036614659,2.603452481,,,,8.510894637,3.551795098
1973-05-01,3.395894374,3.107138861,3.180735955,2.673050589,,,,9.092038333,3.530809169
1973-06-01,3.410220591,3.286628559,3.104206448,2.737114462,,,,9.913670066,3.649775355
1973-07-01,3.360522739,3.365290088,3.018552356,2.784463532,,,,9.553228174,3.659548577
1973-08-01,3.661661161,3.554155544,3.329072164,2.961292023,,,,13.64245875,3.923155423
1973-09-01,4.369577853,3.934832688,3.952644678,3.11895648,,,,12.359044332,3.259517521
1973-10-01,5.244286892,4.586319326,4.775638756,3.628317112,,,,12.71587586,3.204997347
1973-11-01,5.478476318,4.817932396,4.938670847,3.737667973,,,,13.57610655,2.938868086
1973-12-01,5.877920723,5.164487407,5.319843098,4.039586593,,,,14.392230969,2.638223318
1974-01-01,6.400905807,5.705515397,5.857506965,4.609076547,,,,15.034296204,2.715820042
1974-02-01,6.812996957,6.075522275,6.303969131,5.026899021,,,,16.015249922,2.72611987
1974-03-01,7.276441776,6.527350627,6.831393725,5.584397154,,,,15.768710277,2.614602387
1974-04-01,7.618471655,6.933412737,7.120384207,5.916058223,,,,14.746932198,2.94831727
1974-05-01,8.139407626,7.631398661,7.749650582,6.840058381,,,,15.224468845,3.880116887
1974-06-01,8.943358472,8.479050824,8.640321526,7.845721356,,,,14.89497495,5.212834669
1974-07-01,9.835974521,9.326110176,9.552860371,8.715223461,,,,15.135144908,6.405109421
1974-08-01,10.423442287,10.167034576,10.130319088,9.599943233,,,,12.468096682,8.167271789
1974-09-01,10.756425185,10.627464781,10.621603911,10.362936098,,,,14.370432731,8.913373714
1974-10-01,10.674289565,10.728527522,10.591306867,10.598878221,,,,14.620308934,10.042211689
1974-11-01,11.006542123,11.143516055,11.017162794,11.19624515,,,,14.326677999,10.879132197
1974-12-01,11.463072279,11.496319975,11.527439415,11.615712727,,,,13.873600687,10.998942656
1975-01-01,11.643704989,11.691713137,11.65667686,11.726307586,,,,12.58123675,11.04318027
